"","des","total","applicant","spouse","children","year","year_date"
"1","Single","33970","9688","24","24258",2008,2008-01-01
"2","Married","23010","12632","10362","16",2008,2008-01-01
"3","Widowed","1906","1900","3","3",2008,2008-01-01
"4","Divorced/separated","1077","1056","5","16",2008,2008-01-01
"5","Single","40798","12182","25","28591",2009,2009-01-01
"6","Married","29770","16340","13404","26",2009,2009-01-01
"7","Widowed","2452",NA,"0",NA,2009,2009-01-01
"8","Divorced/separated","1483","1464","5",NA,2009,2009-01-01
"9","Single","41022","12845","15","28162",2010,2010-01-01
"10","Married","28567","15731","12816","20",2010,2010-01-01
"11","Widowed","2218","2218","0","0",2010,2010-01-01
"12","Single","31324","9794","10","21520",2011,2011-01-01
"13","Married","22095","12333","9741","21",2011,2011-01-01
"14","Widowed","1742","1742","0","0",2011,2011-01-01
"15","Single","32608","11335","0","21273",2012,2012-01-01
"16","Married","22322","12780","9532","10",2012,2012-01-01
"17","Widowed","1792",NA,"0",NA,2012,2012-01-01
"18","Single","39392","12494",NA,NA,2013,2013-01-01
"19","Married","26789","15502",NA,NA,2013,2013-01-01
"20","Widowed","1933",NA,"0",NA,2013,2013-01-01
"21","Single","39739",NA,NA,"28081",2014,2014-01-01
"22","Married","26168","14787",NA,NA,2014,2014-01-01
"23","Widowed","2160",NA,"0",NA,2014,2014-01-01
"24","Divorced/separated","1870","1860",NA,NA,2014,2014-01-01
"25","Married","25063","14260","10787","16",2015,2015-01-01
"26","Single","41105",NA,NA,"30696",2015,2015-01-01
"27","Widowed","1932",NA,"0",NA,2015,2015-01-01
"28","Divorced/separated","1810","1794",NA,NA,2015,2015-01-01
